game_id,me_playing,my_board_nb_creatures,my_board_total_attack,my_board_total_health,my_class,my_hand,my_health,opponent_board_nb_creatures,opponent_board_total_attack,opponent_board_total_health,opponent_class,opponent_hand,opponent_health,result,turn_id,turns_to_end
434,False,0,0.0,0.0,Mage,5,30,2,6.0,3.0,Warlock,3,27,0,1,10
434,True,2,4.0,6.0,Mage,3,30,2,6.0,3.0,Warlock,3,27,0,2,9
434,False,0,0.0,0.0,Mage,3,29,1,2.0,4.0,Warlock,3,27,0,3,8
434,True,1,3.0,4.0,Mage,3,29,1,2.0,4.0,Warlock,3,27,0,4,7
434,False,0,0.0,0.0,Mage,3,29,4,9.0,7.0,Warlock,2,27,0,5,6
434,True,0,0.0,0.0,Mage,3,29,5,7.0,5.0,Warlock,2,27,0,6,5
434,False,0,0.0,0.0,Mage,3,23,6,11.0,10.0,Warlock,2,27,0,7,4
434,True,1,3.0,3.0,Mage,3,23,5,9.0,9.0,Warlock,2,27,0,8,3
434,False,0,0.0,0.0,Mage,3,16,5,10.0,12.0,Warlock,1,27,0,9,2
434,True,2,7.0,7.0,Mage,2,16,5,10.0,12.0,Warlock,1,27,0,10,1
434,False,2,7.0,7.0,Mage,2,16,5,10.0,8.0,Warlock,2,27,0,11,0
1571,True,1,2.0,2.0,Paladin,3,30,1,1.0,2.0,Paladin,5,30,0,1,6
1571,False,1,2.0,2.0,Paladin,3,27,1,3.0,4.0,Paladin,4,30,0,2,5
1571,True,3,4.0,5.0,Paladin,3,27,1,6.0,6.0,Paladin,4,30,0,3,4
1571,False,3,6.0,7.0,Paladin,3,19,2,11.0,12.0,Paladin,2,30,0,4,3
1571,True,3,9.0,9.0,Paladin,3,19,2,14.0,14.0,Paladin,2,25,0,5,2
1571,False,3,9.0,9.0,Paladin,3,5,3,15.0,15.0,Paladin,3,25,0,6,1
1571,True,3,9.0,9.0,Paladin,4,5,3,15.0,15.0,Paladin,3,25,0,7,0
1256,False,0,0.0,0.0,Mage,4,30,1,3.0,2.0,Priest,4,29,0,1,14
1256,True,0,0.0,0.0,Mage,4,30,0,0.0,0.0,Priest,4,29,0,2,13
1256,False,0,0.0,0.0,Mage,4,30,2,2.0,5.0,Priest,3,29,0,3,12
1256,True,1,2.0,2.0,Mage,4,30,2,2.0,5.0,Priest,3,28,0,4,11
1256,False,0,0.0,0.0,Mage,4,29,3,8.0,7.0,Priest,3,28,0,5,10
1256,True,0,0.0,0.0,Mage,5,29,2,5.0,6.0,Priest,3,28,0,6,9
1256,False,0,0.0,0.0,Mage,5,24,3,8.0,11.0,Priest,3,28,0,7,8
1256,True,1,3.0,5.0,Mage,5,24,3,8.0,11.0,Priest,3,28,0,8,7
1256,False,0,0.0,0.0,Mage,5,21,4,12.0,11.0,Priest,3,28,0,9,6
1256,True,1,4.0,2.0,Mage,5,21,5,13.0,12.0,Priest,3,28,0,10,5
1256,False,1,4.0,2.0,Mage,5,8,5,13.0,13.0,Priest,4,28,0,11,4
1256,True,0,0.0,0.0,Mage,5,8,3,5.0,4.0,Priest,4,28,0,12,3
1256,False,0,0.0,0.0,Mage,5,3,4,9.0,8.0,Priest,4,28,0,13,2
1256,True,1,4.0,5.0,Mage,5,3,3,9.0,7.0,Priest,4,28,0,14,1
1256,False,1,4.0,5.0,Mage,5,-2,2,7.0,6.0,Priest,5,28,0,15,0
481,True,2,3.0,5.0,Mage,3,30,0,0.0,0.0,Warrior,6,29,1,1,16
481,False,1,2.0,2.0,Mage,3,30,0,0.0,0.0,Warrior,5,29,1,2,15
481,True,3,7.0,7.0,Mage,2,30,0,0.0,0.0,Warrior,5,29,1,3,14
481,False,3,7.0,7.0,Mage,2,30,1,1.0,4.0,Warrior,5,29,1,4,13
481,True,5,10.0,8.0,Mage,1,30,0,0.0,0.0,Warrior,5,28,1,5,12
481,False,4,8.0,5.0,Mage,1,30,0,0.0,0.0,Warrior,5,26,1,6,11
481,True,5,10.0,8.0,Mage,1,30,0,0.0,0.0,Warrior,5,17,1,7,10
481,False,1,2.0,1.0,Mage,3,30,1,3.0,5.0,Warrior,5,15,1,8,9
481,True,1,3.0,4.0,Mage,3,30,1,3.0,3.0,Warrior,5,14,1,9,8
481,False,0,0.0,0.0,Mage,3,27,1,3.0,3.0,Warrior,5,13,1,10,7
481,True,0,0.0,0.0,Mage,3,27,1,3.0,3.0,Warrior,5,9,1,11,6
481,False,1,1.0,3.0,Mage,3,24,2,4.0,6.0,Warrior,5,9,1,12,5
481,True,2,6.0,8.0,Mage,4,24,2,4.0,5.0,Warrior,5,9,1,13,4
481,False,0,0.0,0.0,Mage,4,21,3,8.0,5.0,Warrior,6,9,1,14,3
481,True,2,9.0,7.0,Mage,3,21,2,5.0,4.0,Warrior,7,9,1,15,2
481,False,0,0.0,0.0,Mage,3,18,2,5.0,2.0,Warrior,6,9,1,16,1
481,True,0,0.0,0.0,Mage,2,18,2,5.0,2.0,Warrior,6,0,1,17,0
1356,True,0,0.0,0.0,Mage,4,30,0,0.0,0.0,Paladin,4,30,0,1,19
1356,False,0,0.0,0.0,Mage,4,30,1,1.0,1.0,Paladin,5,30,0,2,18
1356,True,1,3.0,2.0,Mage,4,30,1,1.0,1.0,Paladin,5,30,0,3,17
1356,False,0,0.0,0.0,Mage,4,30,3,3.0,3.0,Paladin,5,27,0,4,16
1356,True,1,3.0,2.0,Mage,3,30,3,3.0,3.0,Paladin,5,27,0,5,15
1356,False,0,0.0,0.0,Mage,3,29,2,4.0,3.0,Paladin,5,24,0,6,14
1356,True,1,3.0,5.0,Mage,3,29,2,4.0,3.0,Paladin,5,24,0,7,13
1356,False,1,1.0,2.0,Mage,3,28,1,3.0,4.0,Paladin,5,21,0,8,12
1356,True,1,1.0,2.0,Mage,3,28,0,0.0,0.0,Paladin,5,20,0,9,11
1356,False,1,1.0,2.0,Mage,3,28,3,5.0,6.0,Paladin,5,20,0,10,10
1356,True,2,6.0,5.0,Mage,2,28,1,1.0,1.0,Paladin,5,20,0,11,9
1356,False,0,0.0,0.0,Mage,2,25,1,1.0,1.0,Paladin,4,20,0,12,8
1356,True,0,0.0,0.0,Mage,3,25,0,0.0,0.0,Paladin,4,20,0,13,7
1356,False,0,0.0,0.0,Mage,3,25,2,7.0,7.0,Paladin,4,20,0,14,6
1356,True,1,5.0,1.0,Mage,4,25,2,7.0,7.0,Paladin,4,20,0,15,5
1356,False,1,7.0,4.0,Mage,4,18,5,17.0,17.0,Paladin,4,20,0,16,4
1356,True,4,13.0,12.0,Mage,1,18,4,13.0,12.0,Paladin,4,19,0,17,3
1356,False,2,9.0,5.0,Mage,1,8,3,17.0,16.0,Paladin,2,19,0,18,2
1356,True,3,9.0,5.0,Mage,1,16,2,14.0,12.0,Paladin,2,19,0,19,1
1356,False,3,9.0,5.0,Mage,1,0,2,16.0,14.0,Paladin,3,19,0,20,0
